Author,Reference,Extractor_1,duplicate,preDM_def,combined_def,n_def,subgroup,mort_report,cardiomort_report,CVD_report,CHD_report,stroke_report,HF_report,CKD_report,cohort_name,country,year_pub,years_study,mean_followup,multivar_adjust,var_adjust,n_participants,n_females,mean_age_1,mean_age_F,mean_age_M,FSG_unit,mean_FSG,mean_FSG_F,mean_FSG_M,percent_HBA1C,percent_HBA1C_F,percent_HBA1C_M,percent_CVD,percent_CVD_M,percent_CVD_F,mean_GFR,mean_GFR_F,mean_GFR_M,outcome_type,n_mort,n_mort_F,n_mort_M,HR_mort_F,LCI_mort_F,UCI_mort_F,HR_mort_M,LCI_mort_M,UCI_mort_M,n_cardiomort,n_cardiomort_F,HR_cardiomort_F,LCI_cardiomort_F,UCI_cardiomort_F,HR_cardiomort_M,LCI_cardiomort_M,UCI_cardiomort_M,n_stroke,n_stroke_F,HR_stroke_F,LCI_stroke_F,UCI_stroke_F,HR_stroke_M,LCI_stroke_M,UCI_stroke_M,n_iscstroke,n_iscstroke_F,HR_iscstroke_F,LCI_iscstroke_F,UCI_iscstroke_F,HR_iscstroke_M,LCI_iscstroke_M,UCI_iscstroke_M,n_hemstroke,n_hemstroke_F,HR_hemstroke_F,LCI_hemstroke_F,UCI_hemstroke_F,HR_hemstroke_M,LCI_hemstroke_M,UCI_hemstroke_M,CVD_def,n_CVD,n_CVD_F,HR_CVD_F,LCI_CVD_F,UCI_CVD_F,HR_CVD_M,LCI_CVD_M,UCI_CVD_M,CHD_def,n_CHD,n_CHD_F,HR_CHD_F,LCI_CHD_F,UCI_CHD_F,HR_CHD_M,LCI_CHD_M,UCI_CHD_M,CKD_def,n_CKD,n_CKD_F,HR_CKD_F,LCI_CKD_F,UCI_CKD_F,HR_CKD_M,LCI_CKD_M,UCI_CKD_M,n_HF,n_HF_F,HR_HF_F,LCI_HF_F,UCI_HF_F,HR_HF_M,LCI_HF_M,UCI_HF_M
"Magliano et al., 2010","50. Magliano DJ, Soderberg S, Zimmet PZ, Cartensen B, Balkau B, Pauvaday V, et al. Mortality, all-cause and cardiovascular disease, over 15 years in multiethnic mauritius: impact of diabetes and intermediate forms of glucose tolerance. Diabetes Care 2010;33(9):1983-9.",Tyler,8,1,NA,1,6.1-6.9 mmol/L,1,1,0,0,0,0,0,NA,Mauritius,2010,1987-2007,15.1,1,"Waist/hip circumference, smoking, hypertension, ethnicity, prior CVD, education, HDL cholesterol, triglycerides, total cholesterol",8793,4623,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0.9,0.56,1.45,1.13,0.82,1.56,NA,NA,0.66,0.32,1.38,1.24,0.82,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"We defined CVD mortality to include deaths categorized as cardiac, cerebrovascular, hypertension, and renal failure as the primary cuase of death. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Magliano et al., 2010","50. Magliano DJ, Soderberg S, Zimmet PZ, Cartensen B, Balkau B, Pauvaday V, et al. Mortality, all-cause and cardiovascular disease, over 15 years in multiethnic mauritius: impact of diabetes and intermediate forms of glucose tolerance. Diabetes Care 2010;33(9):1983-9.",Tyler,8,2,NA,1,7.8 - 11.1 mmol/L,1,1,0,0,0,0,0,NA,Mauritius,2010,1987-2007,15.1,1,"Waist/hip circumference, smoking, hypertension, ethnicity, prior CVD, education, HDL cholesterol, triglycerides, total cholesterol",8793,4623,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,1.21,0.96,1.53,1.39,1.12,1.71,NA,NA,1.16,0.84,1.59,1.37,1.02,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"We defined CVD mortality to include deaths categorized as cardiac, cerebrovascular, hypertension, and renal failure as the primary cuase of death. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madssen et al., 2012","58. Madssen E, Vatten L, Nilsen TI, Midthjell K, Wiseth R, Dale AC. Abnormal glucose regulation and gender-specific risk of fatal coronary artery disease in the HUNT 1 study. Scand Cardiovasc J 2012;46(4):219-25.",Kuralay,9,5,WHO FPG + OGTT 2hPG ,1,PreDM,1,1,0,0,0,0,0,HUNT 1,Norway,2012,1984-2003,18,1,"Age, BMI, hypertension, established cardiovascular disease, smoking habits, exercise sessions per week",45530,23381,59.49654733,59.87167358,59.10055533,0,NA,NA,NA,NA,NA,NA,9.66,11.87017924,7.568260553,NA,NA,NA,0,NA,NA,,1.3,NA,1.04,1.6,1.04,1.2,66,20,1.2,0.8,1.9,1.2,0.9,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gordon-Dseagu et al., 2015","68. Gordon-Dseagu VL, Mindell JS, Steptoe A, Moody A, Wardle J, Demakakos P, et al. Impaired glucose metabolism among those with and without diagnosed diabetes and mortality: a cohort study using Health Survey for England data. PLoS One 2015;10(3):e0119882.",Modupe,10,3,NA,0,5.7-<6.5% (39-<48 mmol/mol),1,1,0,0,0,0,0,HSE,UK,2015,2003-2008,7,1,"Age, sex, smoking status, SES, BMI",20674,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0.99,0.83,1.18,0.92,0.77,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1.06,0.76,1.46,1.08,0.81,1.45,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hadaegh et al., 2015","69. Hadaegh F, Ehteshami-Afshar S, Hajebrahimi MA, Hajsheikholeslami F, Azizi F. Silent coronary artery disease and incidence of cardiovascular and mortality events at different levels of glucose regulation; results of greater than a decade follow-up. Int J Cardiol 2015;182:334-9.",Fatima,11,5,ADA FPG + OGTT 2hPG ,1,PreDM,1,0,1,1,0,0,0,TLGS,Iran,2015,1999-2012,12.1,1,"Age, hypertension, hypercholesterolemia, BMI, smoking",1538,815,59.51252276,58.55920245,60.58715076,0,5.15130039,5.158834356,5.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,58,25,,1.35,0.78,2.3,0.99,0.64,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"composite measure of any CHD events, stroke, or cerebrovascular events",120,60,1.67,1.16,2.41,0.863,0.63,1.29,"Cases of definite MI diagnosed by ECG and biomarkers, probable MI, unstable angina pectoris, and angiographic proven CHD.",102,54,1.8,1.21,2.68,0.83,0.58,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren et al., 2017","82. Warren B, Pankow JS, Matsushita K, Punjabi NM, Daya NR, Grams M, et al. Comparative prognostic performance of definitions of prediabetes: a prospective cohort analysis of the Atherosclerosis Risk in Communities (ARIC) study. Lancet Diabetes Endocrinol 2017;5(1):34-42.",Tomiwa,12,2,NA,1,7.8 - 11.0 mmol/L,1,0,1,0,0,0,0,ARIC,USA,2017,1987-2013,NA,1,"Adjusted for age, sex (male, female), race-center (white, Minneapolis, MN; black, Jackson, MS; white, Washington County, MD; black, Forsyth County, NC; white, Forsyth County, NC), education level (less than high school, high school or equivalent, college or above), BMI, waist-to-hip ratio, total cholesterol, HDL, triglycerides, hypertension (yes, no), eGFR, smoking status (current, former, never), drinking status (current, former, never), lipid-lowering medication use (yes, no), family history of diabetes (yes, no)school, high school or equivalent, college or above), BMI, waist-to-hip ratio, total cholesterol, HDL, triglycerides, hypertension , eGFR, smoking status (current, former, never), drinking status (current, former,
never), lipid-lowering medication use  family history of diabetes ",6451,3718,62.56713688,NA,NA,0,5.347198884,NA,NA,NA,NA,NA,NA,NA,NA,88.22456983,NA,NA,0,491,NA,,1.08,0.91,1.28,1.27,1.09,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Incident atherosclerotic cardiovascular disease events were adjudicated and included any coronary heart disease hospital admission or death, or ischaemic stroke hospital admission or death, and were obtained by continuous active surveillance",217,NA,0.91,0.71,1.18,1.03,0.81,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glomerular filtration rate (eGFR) of <60ml/min per 1.73 m2 measured at a study visit and a reduction in eGFR of at least 25% from the baseline visit to the follow up visit ,429,NA,1.11,0.94,1.32,1.04,0.86,1.25,NA,NA,NA,NA,NA,NA,NA,NA
"Warren et al., 2017","82. Warren B, Pankow JS, Matsushita K, Punjabi NM, Daya NR, Grams M, et al. Comparative prognostic performance of definitions of prediabetes: a prospective cohort analysis of the Atherosclerosis Risk in Communities (ARIC) study. Lancet Diabetes Endocrinol 2017;5(1):34-42.",Tomiwa,12,0,NA,1,5.6-6.9 mmol/L,1,0,1,0,0,0,0,ARIC,USA,2017,1987-2013,NA,1,"Adjusted for age, sex (male, female), race-center (white, Minneapolis, MN; black, Jackson, MS; white, Washington County, MD; black, Forsyth County, NC; white, Forsyth County, NC), education level (less than high school, high school or equivalent, college or above), BMI, waist-to-hip ratio, total cholesterol, HDL, triglycerides, hypertension (yes, no), eGFR, smoking status (current, former, never), drinking status (current, former, never), lipid-lowering medication use (yes, no), family history of diabetes (yes, no)school, high school or equivalent, college or above), BMI, waist-to-hip ratio, total cholesterol, HDL, triglycerides, hypertension , eGFR, smoking status (current, former, never), drinking status (current, former,
never), lipid-lowering medication use  family history of diabetes ",6862,4007,62.76243078,NA,NA,0,5.374060041,NA,NA,NA,NA,NA,NA,NA,NA,88.23121539,NA,NA,0,523,NA,,1.27,1.08,1.51,1.01,0.87,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Incident atherosclerotic cardiovascular disease events were adjudicated and included any coronary heart disease hospital admission or death, or ischaemic stroke hospital admission or death, and were obtained by continuous active surveillance",269,NA,1.17,0.91,1.5,1.06,0.86,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glomerular filtration rate (eGFR) of <60ml/min per 1.73 m2 measured at a study visit and a reduction in eGFR of at least 25% from the baseline visit to the follow up visit ,453,NA,0.97,0.82,1.15,0.87,0.74,1.03,NA,NA,NA,NA,NA,NA,NA,NA
"Ahn et al., 2018","83. Ahn SV, Kim HC, Nam CM, Suh I. Sex difference in the effect of the fasting serum glucose level on the risk of coronary heart disease. J Cardiol 2018;71(2):149-154.",Kuralay,13,0,NA,0,100-109 mg/dL,0,0,0,1,0,0,0,KMIC,South Korea,2018,1990-2003,11,1,"Age, BMI, blood pressure, total cholesterol level, cigarette smoking status",155924,59077,43.84701136,42.35622831,44.75639411,1,88.15237167,85.43012509,89.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Defined by ICD-10 codes 120-125: angina, pectoris, acute myocardial infarction (MI), subsequent acute MI, other acute ischemic heart disease, and chronic ischemic heart disease",366,49,1.17,0.9,1.52,1,0.9,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahn et al., 2018","83. Ahn SV, Kim HC, Nam CM, Suh I. Sex difference in the effect of the fasting serum glucose level on the risk of coronary heart disease. J Cardiol 2018;71(2):149-154.",,13,0,NA,0,110-125 mg/dL,0,0,0,1,0,0,0,KMIC,South Korea,2018,1990-2003,11,1,"Age, BMI, blood pressure, total cholesterol level, cigarette smoking status",155924,59077,43.84701136,42.35622831,44.75639411,1,88.15237167,85.43012509,89.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Defined by ICD-10 codes 120-125: angina, pectoris, acute myocardial infarction (MI), subsequent acute MI, other acute ischemic heart disease, and chronic ischemic heart disease",180,19,1.62,1.11,2.36,1.07,0.92,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ares et al., 2019","86. Ares J, Valdes S, Botas P, Sanchez-Ragnarsson C, Rodriguez-Rodero S, Morales-Sanchez P, et al. Mortality risk in adults according to categories of impaired glucose metabolism after 18 years of follow-up in the North of Spain: The Asturias Study. PLoS One 2019;14(1):e0211070.",Kuralay,14,2,NA,1,7.8-11.0 mmol/L,1,1,0,0,0,0,,Asturias Study,Spain,2019,1998-1999,18,1,"Age, sex, BMI, history of high BP, smoking habits, LDL-C, glomerular filtration rate, and the prior presence of cardiovascular disease",903,505,51.72735327,NA,NA,1,94.51694352,NA,NA,5.09833887,NA,NA,3.433001107,NA,NA,79.98593577,NA,NA,0,62,NA,,0.96,0.56,1.62,0.89,0.55,1.41,74,39,1.04,0.44,2.5,1.35,0.58,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parizadeh et al., 2019","90. Parizadeh D, Rahimian N, Akbarpour S, Azizi F, Hadaegh F. Sex-specific clinical outcomes of impaired glucose status: A long follow-up from the Tehran Lipid and Glucose Study. Eur J Prev Cardiol 2019;26(10):1080-1091.",Ayo,15,0,NA,1,5.6-6.9 mmol/L,1,0,0,1,1,0,1,TLGS,Iran,2019,1999-2005,12,1,"age, body mass index, education level, waist/hip ratio, total cholesterol, high-density lipoprotein cholesterol, triglycerides, estimated glomerular filtration rate, smoking, lipid-lowering drug, prevalent cardiovascular disease; additional adjustments were ahypertension, family history of diabetes;",3198,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,1.26,0.83,1.9,1.18,0.88,1.64,NA,NA,NA,NA,NA,NA,NA,NA,124,54,0.61,0.28,1.27,1.31,0.72,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,586,215,1.57,1.14,2.16,0.98,0.73,1.31,,1140,758,0.83,0.67,1.02,1.11,0.83,1.5,NA,NA,NA,NA,NA,NA,NA,NA
"Rhee et al., 2020","95. Rhee EJ, Jung I, Kwon H, et al. Increased Mortality Burden in Young Asian Subjects with Dysglycemia and Comorbidities. J Clin Med. 2020;9: pii: E1042.",Tyler,16,0,NA,0,100-125 mg/dL,1,0,0,0,0,0,0,NHIS (KNHS),South Korea,2020,2009-2016,7.3,1,"age, sex, current smoking, alcohol drinking, regular exercise, body mass index, hypertension, dyslipidemia and chronic kidney disease","5,617,468","2,473,828",47,NA,NA,1,NA,NA,NA,NA,NA,NA,2.80%,NA,NA,NA,NA,NA,0,52650,17024,,1.061,1.042,1.081,1.044,1.031,1.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onat et al., 2013","62. Onat A, Can G, Cicek G, Ayhan E, Dogan Y, Kaya H. Fasting, non-fasting glucose and HDL dysfunction in risk of pre-diabetes, diabetes, and coronary disease in non-diabetic adults. Acta Diabetol 2013;50(4):519-28.",James,17,1,NA,1,6.1-7.0 mmol/L,0,0,0,1,0,0,0,TARF,Turkey,2011,1997-2010,7.24,1,"sex, age and glucose categories for incident type-2 diabetes, in non-diabetic sample at baseline, in two models",2619,1343,47.84360443,47.6,48.1,mmol/L,5.310576556,5.5,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"based on the presence of angina pectoris, of a history of myocardial infarction with or without accompanying Minnesota codes of the ECG [24] or on a history of myocardial revascularization.",294,142,1.15,0.55,2.41,0.78,0.34,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onat et al., 2013","62. Onat A, Can G, Cicek G, Ayhan E, Dogan Y, Kaya H. Fasting, non-fasting glucose and HDL dysfunction in risk of pre-diabetes, diabetes, and coronary disease in non-diabetic adults. Acta Diabetol 2013;50(4):519-28.",James,17,2,NA,1,7.8-11.1 mmolL,0,0,0,1,0,0,0,TARF,Turkey,2011,1997-2010,7.24,1,"sex, age and glucose categories for incident type-2 diabetes, in non-diabetic sample at baseline, in two models",2619,1343,47.84360443,47.6,48.1,mmol/L,5.310576556,5.5,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"based on the presence of angina pectoris, of a history of myocardial infarction with or without accompanying Minnesota codes of the ECG [24] or on a history of myocardial revascularization.",294,142,3.74,1.16,12,1.86,0.69,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kim et al., 2013","60. Kim HK, Kim CH, Kim EH, Bae SJ, Choe J, Park JY, et al. Impaired fasting glucose and risk of cardiovascular disease in Korean men and women: the Korean Heart Study. Diabetes Care 2013;36(2):328-35.",James,18,0,NA,0,100-109 mg/dL,0,0,1,1,1,0,0,Korean Heart Study,South Korea,2013,1996-2004,10,1,"age, systolic blood pressure, antihypertensive medication, LDL cholesterol, HDL cholesterol, current smoking, BMI, and family history of CVD.","357,407",140651.667,45.39060763,NA,NA,1,90.75195813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954,352,NA,NA,NA,NA,NA,NA,648,238,1,0.87,1.16,1.03,0.92,1.16,306,114,1.06,0.86,1.3,1.05,0.89,1.23,NA,5107,1898,0.96,0.89,1.04,1.1,1.05,1.17,NA,1712,526,1.09,0.99,1.2,1.06,0.99,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kim et al., 2013","60. Kim HK, Kim CH, Kim EH, Bae SJ, Choe J, Park JY, et al. Impaired fasting glucose and risk of cardiovascular disease in Korean men and women: the Korean Heart Study. Diabetes Care 2013;36(2):328-35.",James,18,0,NA,0,110-125 mg/dL,0,0,1,1,1,0,0,Korean Heart Study,South Korea,2013,1996-2004,10,1,"age, systolic blood pressure, antihypertensive medication, LDL cholesterol, HDL cholesterol, current smoking, BMI, and family history of CVD.","357,407",140651.667,45.39060763,NA,NA,1,90.75195813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482,145,NA,NA,NA,NA,NA,NA,347,109,1.07,0.88,1.31,1.24,1.08,1.43,135,36,0.82,0.59,1.16,1.17,0.94,1.45,NA,2360,749,0.96,0.89,1.04,1.1,1.05,1.17,NA,801,197,0.97,0.84,1.13,1.18,1.08,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Donahue et al., 2011","10. Donahue RP, Dorn JM, Stranges S, Swanson M, Hovey K, Trevisan M. Impaired fasting glucose and recurrent cardiovascular disease among survivors of a first acute myocardial infarction: evidence of a sex difference? The Western New York experience. Nutr Metab Cardiovasc Dis 2011;21(7):504-11.",James,19,0,NA,0,100-125 mg/dL,0,0,0,1,1,0,0,Western New York Acute MI Study,USA,2011,1996-2004,4.5,1,"Adjusted for age, current smoker (yes vs. otherwise), Ever use alcohol (yes vs. otherwise), hypertension(yes vs. otherwise), hypercholesterolemia (yes vs. otherwise), aspirin use (yes vs. otherwise), BMI (continuous).",1226,348,55.08466558,56.44827586,54.54419134,1,110.3620718,116.1508621,108.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,91,2.24,1.2,4.18,0.83,0.57,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kim et al., 2016","Association of prediabetes, defined by fasting glucose, HbA1c only, or combined criteria, with the risk of cardiovascular disease in Koreans Hong-Kyu KIM,1 Jung Bok LEE,2 Seon Ha KIM,3 Min-Woo JO,3 Eun Hee KIM,1 Jenie Yoonoo HWANG,1 Sung Jin BAE,1 Chang Hee JUNG,4 Woo Je LEE,4 Joong-Yeol PARK,4 Gyung-Min PARK,5 Young-Hak KIM5 and Jaewon CHOE1",James,20,0,NA,1,100-125 mg/dL,0,0,1,1,0,0,0,NA,South Korea,2015,2007-2011,3.1,1,"MV-adjusted HRs were adjusted for age, sex, hypertension, low-density lipoprotein cholesterol, high-density lipoprotein cholesterol, smoking, a family history of CVD, and body mass index.",76434,32685,47.5,NA,NA,0,5.48,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,0,88,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"were also defined as a composite of cardiovascular death, MI, stroke (hemorrhagic and ischemic), coronary revascularization, and hospitalization with IHD",222,NA,1.39,0.95,2.04,0.95,0.75,1.22,"Cardiovascular death, MI, revascularization, and hospitalization with IHD were classified as major IHD events",120,NA,1.97,0.97,3.99,0.92,0.71,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kim et al., 2016","Association of prediabetes, defined by fasting glucose, HbA1c only, or combined criteria, with the risk of cardiovascular disease in Koreans Hong-Kyu KIM,1 Jung Bok LEE,2 Seon Ha KIM,3 Min-Woo JO,3 Eun Hee KIM,1 Jenie Yoonoo HWANG,1 Sung Jin BAE,1 Chang Hee JUNG,4 Woo Je LEE,4 Joong-Yeol PARK,4 Gyung-Min PARK,5 Young-Hak KIM5 and Jaewon CHOE1",James,20,3,NA,1,5.7%-6.4%,0,0,1,1,0,0,0,NA,South Korea,2015,2007-2011,3.1,1,"MV-adjusted HRs were adjusted for age, sex, hypertension, low-density lipoprotein cholesterol, high-density lipoprotein cholesterol, smoking, a family history of CVD, and body mass index.",76434,32685,47.5,NA,NA,0,5.48,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,0,65,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"were also defined as a composite of cardiovascular death, MI, stroke (hemorrhagic and ischemic), coronary revascularization, and hospitalization with IHD",191,NA,1.18,0.79,1.77,1.22,0.94,1.59,"Cardiovascular death, MI, revascularization, and hospitalization with IHD were classified as major IHD events",112,NA,2.27,1.1,4.7,1.54,1.17,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kim et al., 2016","Association of prediabetes, defined by fasting glucose, HbA1c only, or combined criteria, with the risk of cardiovascular disease in Koreans Hong-Kyu KIM,1 Jung Bok LEE,2 Seon Ha KIM,3 Min-Woo JO,3 Eun Hee KIM,1 Jenie Yoonoo HWANG,1 Sung Jin BAE,1 Chang Hee JUNG,4 Woo Je LEE,4 Joong-Yeol PARK,4 Gyung-Min PARK,5 Young-Hak KIM5 and Jaewon CHOE1",James,20,5,ADA FPG + ADA HbA1c,1,100-125 mg/dL OR 5.7%-6.4%,0,0,1,1,0,0,0,NA,South Korea,2015,2007-2011,3.1,1,"MV-adjusted HRs were adjusted for age, sex, hypertension, low-density lipoprotein cholesterol, high-density lipoprotein cholesterol, smoking, a family history of CVD, and body mass index.",76434,32685,47.5,NA,NA,0,5.48,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,0,113,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"were also defined as a composite of cardiovascular death, MI, stroke (hemorrhagic and ischemic), coronary revascularization, and hospitalization with IHD",,NA,1.48,1.02,2.16,1.99,0.78,1.26,"Cardiovascular death, MI, revascularization, and hospitalization with IHD were classified as major IHD events",168,NA,3.01,1.36,6.68,1.17,0.89,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
